id,gender,religion,age_gap,profile_sim,posts,wall_words,comments,likes,locations_together,photos_together,total_friend_count,user_friends,mutuals,mutual_stength,last_comm,response
1665852693730402_4506624800235,0,1,1,0.333333333,5,5098,1,19,0,0,210,10,9,0.9,6,4
1665852693730402_1635582596668008,0,1,2,0.333333333,1,2623,1,7,0,0,210,10,5,0.5,10,4
1665852693730402_279619438908503,0,1,0,0.666666667,3,4398,5,12,0,0,210,10,6,0.6,44,3
1665852693730402_1039259979422631,0,1,1,0.333333333,1,6256,0,18,0,0,210,10,5,0.5,6,4
1665852693730402_798168793647173,1,1,0,1,3,1050,0,1,1,1,210,10,3,0.3,44,3
1665852693730402_10200798449601101,0,1,1,0.333333333,0,1391,0,2,0,0,210,10,4,0.4,100,2
1665852693730402_10207248756883122,0,0,0,0.333333333,14,4856,18,19,0,0,210,10,9,0.9,6,5
1665852693730402_306829992828516,0,1,0,0.666666667,1,4567,0,0,0,0,210,10,6,0.6,100,2
1665852693730402_230971053909736,1,1,1,0.666666667,63,6495,78,100,2,3,210,10,5,0.5,8,5
230971053909736_798168793647173,1,1,1,0.666666667,12,4589,1,20,6,10,292,12,9,0.75,42,4
230971053909736_1665852693730402,1,1,1,0.666666667,63,6495,78,100,1,5,292,12,5,0.416666667,1,5
798168793647173_1665852693730402,1,1,0,1,3,1050,0,1,0,0,301,10,3,0.3,100,3
798168793647173_230971053909736,1,1,1,0.666666667,12,4589,1,20,0,0,301,10,9,0.9,46,3
4506624800235_279619438908503,1,1,1,0.666666667,195,9376,118,70,20,35,2499,33,26,0.787878788,1,5
4506624800235_10207248756883122,1,0,1,0.333333333,203,9280,121,93,38,67,2499,33,31,0.939393939,31,5
4506624800235_640111972762967,1,1,1,0.666666667,22,8267,17,39,2,3,2499,33,14,0.424242424,82,5
4506624800235_594273914026437,1,1,0,1,7,6856,23,32,0,2,2499,33,11,0.333333333,14,4
4506624800235_827459873984841,0,1,1,0.333333333,8,7855,2,21,2,2,2499,33,12,0.363636364,14,1
4506624800235_1534682523416829,0,1,1,0.333333333,1,5437,3,11,0,0,2499,33,14,0.424242424,19,4
4506624800235_572088216236609,0,1,1,0.333333333,0,6851,3,10,0,0,2499,33,12,0.363636364,18,2
4506624800235_861846797164887,1,1,1,0.666666667,4,7550,2,8,1,2,2499,33,14,0.424242424,1,3
4506624800235_10200798449601101,1,1,0,1,6,4740,4,4,2,1,2499,33,11,0.333333333,100,2
279619438908503_4506624800235,1,1,1,0.666666667,195,9376,118,70,33,61,592,27,26,0.962962963,1,5
279619438908503_10207248756883122,1,0,0,0.666666667,297,10109,118,74,40,82,592,27,26,0.962962963,4,5
279619438908503_640111972762967,1,1,2,0.666666667,46,7689,32,83,4,12,592,27,13,0.481481481,1,3
279619438908503_10200798449601101,1,1,1,0.666666667,5,4011,3,11,1,0,592,27,11,0.407407407,100,2
279619438908503_827459873984841,0,1,2,0.333333333,3,7141,3,21,1,0,592,27,11,0.407407407,15,2
279619438908503_1534682523416829,0,1,0,0.666666667,2,4743,0,8,0,1,592,27,12,0.444444444,11,2
279619438908503_572088216236609,0,1,0,0.666666667,0,6158,1,17,0,0,592,27,11,0.407407407,10,2
279619438908503_861846797164887,1,1,0,1,0,6845,1,7,0,0,592,27,13,0.481481481,1,2
572088216236609_4506624800235,0,1,1,0.333333333,0,6851,3,10,0,0,954,13,12,0.923076923,94,3
572088216236609_10207248756883122,0,0,0,0.333333333,6,6464,1,13,0,2,954,13,12,0.923076923,64,3
572088216236609_827459873984841,1,1,2,0.666666667,2,6288,1,3,1,1,954,13,12,0.923076923,100,3
572088216236609_640111972762967,0,1,2,0.333333333,2,6618,0,15,0,0,954,13,13,1,2,3
572088216236609_594273914026437,0,1,1,0.333333333,2,5210,2,12,0,0,954,13,11,0.846153846,58,3
572088216236609_1534682523416829,1,1,0,1,72,4297,114,155,14,24,954,13,11,0.846153846,1,4
572088216236609_10200798449601101,0,1,1,0.333333333,0,3159,0,3,0,0,954,13,10,0.769230769,100,3
572088216236609_861846797164887,0,1,0,0.666666667,14,6001,11,37,5,6,954,13,11,0.846153846,70,4
594273914026437_4506624800235,1,1,0,1,7,6856,23,32,0,4,898,12,11,0.916666667,16,4
594273914026437_10207248756883122,1,0,1,0.333333333,17,6455,16,24,1,4,898,12,11,0.916666667,2,4
594273914026437_827459873984841,0,1,1,0.333333333,2,6182,2,7,0,1,898,12,12,1,42,2
594273914026437_572088216236609,0,1,1,0.333333333,2,5210,2,12,0,1,898,12,11,0.916666667,43,2
594273914026437_640111972762967,1,1,1,0.666666667,77,7082,36,80,5,22,898,12,12,1,1,4
594273914026437_10200798449601101,1,1,0,1,2,3063,0,6,0,0,898,12,10,0.833333333,10,2
594273914026437_1534682523416829,0,1,1,0.333333333,3,3818,4,28,0,1,898,12,11,0.916666667,49,2
594273914026437_861846797164887,1,1,1,0.666666667,4,5895,5,9,1,3,898,12,11,0.916666667,44,3
640111972762967_4506624800235,1,1,1,0.666666667,22,8267,17,39,5,12,973,15,14,0.933333333,94,5
640111972762967_10207248756883122,1,0,2,0.333333333,20,7825,7,60,0,6,973,15,14,0.933333333,2,5
640111972762967_572088216236609,0,1,2,0.333333333,2,6618,0,15,0,2,973,15,13,0.866666667,17,4
640111972762967_279619438908503,1,1,2,0.666666667,46,7689,32,83,4,26,973,15,13,0.866666667,10,5
640111972762967_594273914026437,1,1,1,0.666666667,77,7082,36,80,11,29,973,15,12,0.8,1,4
640111972762967_10200798449601101,1,1,1,0.666666667,2,4471,3,15,0,1,973,15,11,0.733333333,100,4
640111972762967_1534682523416829,0,1,2,0.333333333,0,5203,1,16,0,0,973,15,13,0.866666667,15,4
640111972762967_827459873984841,0,1,0,0.666666667,9,7614,3,18,2,5,973,15,13,0.866666667,17,4
640111972762967_861846797164887,1,1,2,0.666666667,3,7305,0,5,1,2,973,15,13,0.866666667,59,4
827459873984841_4506624800235,0,1,1,0.333333333,8,7855,2,21,3,4,788,13,12,0.923076923,23,3
827459873984841_572088216236609,1,1,2,0.666666667,2,6288,1,3,1,1,788,13,12,0.923076923,23,3
827459873984841_640111972762967,0,1,0,0.666666667,9,7614,3,18,2,3,788,13,13,1,19,3
827459873984841_279619438908503,0,1,2,0.333333333,3,7141,3,21,2,1,788,13,11,0.846153846,48,3
827459873984841_594273914026437,0,1,1,0.333333333,2,6182,2,7,0,1,788,13,12,0.923076923,39,3
827459873984841_10200798449601101,0,1,1,0.333333333,107,4735,25,54,15,27,788,13,11,0.846153846,26,2
827459873984841_1534682523416829,1,1,2,0.666666667,0,4873,1,7,0,0,788,13,12,0.923076923,24,3
827459873984841_861846797164887,0,1,2,0.333333333,1,6975,1,0,0,1,788,13,12,0.923076923,25,2
861846797164887_4506624800235,1,1,1,0.666666667,4,7550,2,8,1,2,1085,15,14,0.933333333,41,3
861846797164887_640111972762967,1,1,2,0.666666667,3,7305,0,5,1,1,1085,15,13,0.866666667,17,4
861846797164887_10207248756883122,1,0,0,0.666666667,2,7142,3,6,0,1,1085,15,14,0.933333333,64,3
861846797164887_572088216236609,0,1,0,0.666666667,14,6001,11,37,2,3,1085,15,11,0.733333333,1,5
861846797164887_827459873984841,0,1,2,0.333333333,1,6975,1,0,0,0,1085,15,12,0.8,100,2
861846797164887_279619438908503,1,1,0,1,0,6845,1,7,0,0,1085,15,13,0.866666667,2,4
861846797164887_594273914026437,1,1,1,0.666666667,4,5895,5,9,0,1,1085,15,11,0.733333333,2,4
861846797164887_10200798449601101,1,1,1,0.666666667,2,3853,1,2,0,0,1085,15,10,0.666666667,10,3
861846797164887_1534682523416829,0,1,0,0.666666667,9,4596,7,44,2,2,1085,15,12,0.8,93,5
1534682523416829_4506624800235,0,1,1,0.333333333,1,5437,3,11,0,0,694,15,14,0.933333333,17,3
1534682523416829_640111972762967,0,1,2,0.333333333,0,5203,1,16,0,0,694,15,13,0.866666667,54,3
1534682523416829_10207248756883122,0,0,0,0.333333333,5,5069,0,10,0,0,694,15,14,0.933333333,12,3
1534682523416829_827459873984841,1,1,2,0.666666667,0,4873,1,7,0,0,694,15,12,0.8,100,3
1534682523416829_279619438908503,0,1,0,0.666666667,2,4743,0,8,0,1,694,15,12,0.8,17,4
1534682523416829_594273914026437,0,1,1,0.333333333,3,3818,4,28,0,0,694,15,11,0.733333333,58,4
1534682523416829_572088216236609,1,1,0,1,72,4297,114,155,11,16,694,15,11,0.733333333,12,5
1534682523416829_861846797164887,0,1,0,0.666666667,9,4596,7,44,3,4,694,15,12,0.8,8,5
1534682523416829_10200798449601101,0,1,1,0.333333333,1,1744,0,3,0,0,694,15,10,0.666666667,100,3
10200798449601101_4506624800235,1,1,0,1,6,4740,4,4,2,2,462,12,11,0.916666667,12,3
10200798449601101_10207248756883122,1,0,1,0.333333333,12,4408,4,9,2,3,462,12,11,0.916666667,12,3
10200798449601101_827459873984841,0,1,1,0.333333333,107,4735,25,54,12,21,462,12,11,0.916666667,11,5
10200798449601101_572088216236609,0,1,1,0.333333333,0,3159,0,3,0,0,462,12,10,0.833333333,23,1
10200798449601101_640111972762967,1,1,1,0.666666667,2,4471,3,15,0,1,462,12,11,0.916666667,48,3
10200798449601101_279619438908503,1,1,1,0.666666667,5,4011,3,11,2,2,462,12,11,0.916666667,48,2
10200798449601101_594273914026437,1,1,0,1,2,3063,0,6,0,1,462,12,10,0.833333333,10,1
10200798449601101_1534682523416829,0,1,1,0.333333333,1,1744,0,3,0,0,462,12,10,0.833333333,40,2
10200798449601101_861846797164887,1,1,1,0.666666667,2,3853,1,2,0,1,462,12,10,0.833333333,34,2
10207248756883122_4506624800235,1,0,1,0.333333333,203,9280,121,93,28,55,1470,32,31,0.96875,1,5
10207248756883122_640111972762967,1,0,2,0.333333333,20,7825,7,60,1,8,1470,32,14,0.4375,89,3
10207248756883122_279619438908503,1,0,0,0.666666667,297,10109,118,74,29,56,1470,32,26,0.8125,1,5
10207248756883122_594273914026437,1,0,1,0.333333333,17,6455,16,24,3,7,1470,32,11,0.34375,1,4
10207248756883122_827459873984841,0,0,2,0,11,7510,4,28,1,4,1470,32,12,0.375,15,2
10207248756883122_1534682523416829,0,0,0,0.333333333,5,5069,0,10,0,2,1470,32,14,0.4375,11,2
10207248756883122_572088216236609,0,0,0,0.333333333,6,6464,1,13,0,2,1470,32,12,0.375,97,2
10207248756883122_861846797164887,1,0,0,0.666666667,2,7142,3,6,0,1,1470,32,14,0.4375,27,3
4683230375146_1904154999808796,1,0,0,0.666666667,84,7849,11,24,26,13,1798,28,15,0.535714286,2,3
4683230375146_642883955827095,1,0,1,0.333333333,106,9270,10,34,32,19,1798,28,24,0.857142857,1,4
4683230375146_1039259979422631,1,0,0,0.666666667,74,10410,18,23,36,21,1798,28,19,0.678571429,1,4
4683230375146_1545700675717582,1,0,0,0.666666667,10,8535,2,7,0,0,1798,28,17,0.607142857,3,4
4683230375146_1497382353899951,0,0,1,0,96,8956,12,30,33,19,1798,28,19,0.678571429,1,3
4683230375146_711895525541513,1,0,1,0.333333333,182,9341,29,62,40,26,1798,28,25,0.892857143,1,4
4683230375146_174874366207472,1,0,1,0.333333333,72,10826,10,15,36,22,1798,28,12,0.428571429,2,3
4683230375146_1690154111231962,1,0,1,0.333333333,33,5393,14,18,1,1,1798,28,19,0.678571429,64,4
174874366207472_1497382353899951,0,1,0,0.666666667,94,8513,2,38,36,18,1020,13,12,0.923076923,1,4
174874366207472_1904154999808796,1,1,1,0.666666667,60,7477,0,25,21,14,1020,13,11,0.846153846,1,3
