id,wall_words,last_comm,locations_together,photos_together,comments,likes,user_friends,mutuals_distinct,posts,response
1665852693730402_798168793647173,1050,44,1,1,0,1,9,5,3,2
1665852693730402_1039259979422631,6256,6,0,0,0,18,9,2,1,4
1665852693730402_10200798449601101,1391,100,0,0,0,2,9,5,0,1
1665852693730402_1635582596668008,2623,10,0,0,1,7,9,2,1,4
1665852693730402_230971053909736,6495,8,2,3,78,100,9,5,63,4
1665852693730402_10207248756883122,4856,6,0,0,18,19,9,5,14,4
1665852693730402_4506624800235,5098,6,0,0,1,19,9,5,5,3
1665852693730402_306829992828516,4567,100,0,0,0,0,9,2,1,2
1665852693730402_279619438908503,4398,44,0,0,5,12,9,5,3,3
230971053909736_1665852693730402,6495,1,1,5,78,100,12,5,63,4
230971053909736_798168793647173,4589,42,6,10,1,20,12,11,12,5
798168793647173_1665852693730402,1050,100,0,0,0,1,10,5,3,4
798168793647173_230971053909736,4589,46,0,0,1,20,10,11,12,3
4506624800235_861846797164887,7550,1,1,2,2,8,12,11,4,1
4506624800235_594273914026437,6856,14,0,2,23,32,12,11,7,3
4506624800235_827459873984841,7855,14,2,2,2,21,12,11,8,1
4506624800235_572088216236609,6851,18,0,0,3,10,12,11,0,1
4506624800235_10200798449601101,4740,100,2,1,4,4,12,11,6,1
4506624800235_1534682523416829,5437,19,0,0,3,11,12,11,1,1
4506624800235_640111972762967,8267,82,2,3,17,39,12,11,22,4
4506624800235_10207248756883122,9280,31,38,67,121,93,12,11,203,5
4506624800235_279619438908503,9376,1,20,35,118,70,12,11,195,5
279619438908503_861846797164887,6845,1,0,0,1,7,12,11,0,2
279619438908503_827459873984841,7141,15,1,0,3,21,12,11,3,2
279619438908503_572088216236609,6158,10,0,0,1,17,12,11,0,2
279619438908503_10200798449601101,4011,100,1,0,3,11,12,11,5,2
279619438908503_1534682523416829,4743,11,0,1,0,8,12,11,2,2
279619438908503_4506624800235,9376,1,33,61,118,70,12,11,195,5
279619438908503_10207248756883122,10109,4,40,82,118,74,12,11,297,5
279619438908503_640111972762967,7689,1,4,12,32,83,12,11,46,3
572088216236609_861846797164887,6001,70,5,6,11,37,12,11,14,4
572088216236609_10200798449601101,3159,100,0,0,0,3,12,11,0,3
572088216236609_594273914026437,5210,58,0,0,2,12,12,11,2,3
572088216236609_827459873984841,6288,100,1,1,1,3,12,11,2,3
572088216236609_1534682523416829,4297,1,14,24,114,155,12,11,72,5
572088216236609_4506624800235,6851,94,0,0,3,10,12,11,0,3
572088216236609_10207248756883122,6464,64,0,2,1,13,12,11,6,3
572088216236609_640111972762967,6618,2,0,0,0,15,12,11,2,3
594273914026437_861846797164887,5895,44,1,3,5,9,12,11,4,4
594273914026437_827459873984841,6182,42,0,1,2,7,12,11,2,2
594273914026437_572088216236609,5210,43,0,1,2,12,12,11,2,1
594273914026437_10200798449601101,3063,10,0,0,0,6,12,11,2,3
594273914026437_1534682523416829,3818,49,0,1,4,28,12,11,3,3
594273914026437_640111972762967,7082,1,5,22,36,80,12,11,77,4
594273914026437_4506624800235,6856,16,0,4,23,32,12,11,7,3
594273914026437_10207248756883122,6455,2,1,4,16,24,12,11,17,4
640111972762967_861846797164887,7305,59,1,2,0,5,12,11,3,4
640111972762967_10200798449601101,4471,100,0,1,3,15,12,11,2,5
640111972762967_594273914026437,7082,1,11,29,36,80,12,11,77,5
640111972762967_827459873984841,7614,17,2,5,3,18,12,11,9,3
640111972762967_572088216236609,6618,17,0,2,0,15,12,11,2,3
640111972762967_279619438908503,7689,10,4,26,32,83,12,11,46,4
640111972762967_1534682523416829,5203,15,0,0,1,16,12,11,0,3
640111972762967_4506624800235,8267,94,5,12,17,39,12,11,22,4
640111972762967_10207248756883122,7825,2,0,6,7,60,12,11,20,4
827459873984841_861846797164887,6975,25,0,1,1,0,12,11,1,2
827459873984841_10200798449601101,4735,26,15,27,25,54,12,11,107,1
827459873984841_594273914026437,6182,39,0,1,2,7,12,11,2,3
827459873984841_572088216236609,6288,23,1,1,1,3,12,11,2,3
827459873984841_279619438908503,7141,48,2,1,3,21,12,11,3,3
827459873984841_1534682523416829,4873,24,0,0,1,7,12,11,0,3
827459873984841_4506624800235,7855,23,3,4,2,21,12,11,8,3
827459873984841_640111972762967,7614,19,2,3,3,18,12,11,9,3
861846797164887_10200798449601101,3853,10,0,0,1,2,12,11,2,3
861846797164887_594273914026437,5895,2,0,1,5,9,12,11,4,3
861846797164887_827459873984841,6975,100,0,0,1,0,12,11,1,2
861846797164887_572088216236609,6001,1,2,3,11,37,12,11,14,4
861846797164887_1534682523416829,4596,93,2,2,7,44,12,11,9,4
861846797164887_279619438908503,6845,2,0,0,1,7,12,11,0,3
861846797164887_4506624800235,7550,41,1,2,2,8,12,11,4,3
861846797164887_10207248756883122,7142,64,0,1,3,6,12,11,2,3
861846797164887_640111972762967,7305,17,1,1,0,5,12,11,3,3
1534682523416829_861846797164887,4596,8,3,4,7,44,12,11,9,5
1534682523416829_10200798449601101,1744,100,0,0,0,3,12,11,1,4
1534682523416829_594273914026437,3818,58,0,0,4,28,12,11,3,4
1534682523416829_827459873984841,4873,100,0,0,1,7,12,11,0,4
1534682523416829_572088216236609,4297,12,11,16,114,155,12,11,72,5
1534682523416829_279619438908503,4743,17,0,1,0,8,12,11,2,4
1534682523416829_4506624800235,5437,17,0,0,3,11,12,11,1,3
1534682523416829_10207248756883122,5069,12,0,0,0,10,12,11,5,3
1534682523416829_640111972762967,5203,54,0,0,1,16,12,11,0,3
10200798449601101_861846797164887,3853,34,0,1,1,2,12,11,2,2
10200798449601101_594273914026437,3063,10,0,1,0,6,12,11,2,1
10200798449601101_827459873984841,4735,11,12,21,25,54,12,11,107,5
10200798449601101_572088216236609,3159,23,0,0,0,3,12,11,0,2
10200798449601101_279619438908503,4011,48,2,2,3,11,12,11,5,2
10200798449601101_1534682523416829,1744,40,0,0,0,3,12,11,1,3
10200798449601101_4506624800235,4740,12,2,2,4,4,12,11,6,2
10200798449601101_10207248756883122,4408,12,2,3,4,9,12,11,12,4
10200798449601101_640111972762967,4471,48,0,1,3,15,12,11,2,2
10207248756883122_861846797164887,7142,27,0,1,3,6,12,11,2,2
10207248756883122_594273914026437,6455,1,3,7,16,24,12,11,17,5
10207248756883122_827459873984841,7510,15,1,4,4,28,12,11,11,1
10207248756883122_572088216236609,6464,97,0,2,1,13,12,11,6,1
10207248756883122_279619438908503,10109,1,29,56,118,74,12,11,297,5
10207248756883122_1534682523416829,5069,11,0,2,0,10,12,11,5,1
10207248756883122_4506624800235,9280,1,28,55,121,93,12,11,203,5
10207248756883122_640111972762967,7825,89,1,8,7,60,12,11,20,4
4683230375146_1690154111231962,5393,64,1,1,14,18,13,12,33,4
4683230375146_642883955827095,9270,1,32,19,10,34,13,12,106,4
4683230375146_1039259979422631,10410,1,36,21,18,23,13,12,74,5
4683230375146_1545700675717582,8535,3,0,0,2,7,13,12,10,5
4683230375146_1497382353899951,8956,1,33,19,12,30,13,12,96,3
4683230375146_1904154999808796,7849,2,26,13,11,24,13,12,84,4
4683230375146_711895525541513,9341,1,40,26,29,62,13,12,182,5
174874366207472_1690154111231962,6018,2,9,1,0,12,13,12,19,5
174874366207472_642883955827095,8919,1,36,18,12,49,13,12,79,5
174874366207472_1039259979422631,10992,1,36,18,13,49,13,12,59,5
174874366207472_1545700675717582,9111,2,3,1,3,30,13,12,5,5
174874366207472_4683230375146,10826,1,11,4,10,15,13,13,72,5
174874366207472_1497382353899951,8513,1,36,18,2,38,13,12,94,5
174874366207472_1904154999808796,7477,1,21,14,0,25,13,12,60,5
174874366207472_711895525541513,8527,1,41,20,3,28,13,12,112,5
306829992828516_1690154111231962,4352,45,0,0,3,11,13,12,19,2
306829992828516_642883955827095,7634,1,24,0,2,34,13,12,70,5
306829992828516_1039259979422631,9090,1,30,2,8,68,13,12,39,4
306829992828516_1545700675717582,7573,45,0,1,11,31,13,12,13,2
306829992828516_836141716438809,7093,17,1,8,8,58,13,12,20,4
306829992828516_4683230375146,8416,1,15,1,4,8,13,12,17,4
306829992828516_763806457067242,7276,30,1,2,1,68,13,12,12,2
306829992828516_836280526420039,5654,100,0,0,0,1,13,12,0,1
306829992828516_1497382353899951,6873,98,11,0,1,38,13,12,27,2
306829992828516_174874366207472,8977,14,0,0,1,15,13,12,6,1
306829992828516_1635582596668008,5467,1,26,0,7,14,13,12,33,4
306829992828516_1904154999808796,5892,99,0,6,11,35,13,12,53,5
306829992828516_711895525541513,7225,0,30,8,28,106,13,12,113,5
642883955827095_1690154111231962,4780,2,52,14,18,58,13,12,162,5
642883955827095_1039259979422631,9074,1,80,16,3,38,13,12,104,4
642883955827095_1545700675717582,7385,0,1,0,1,25,13,12,10,2
642883955827095_4683230375146,9270,1,43,5,10,34,13,12,106,4
642883955827095_1497382353899951,6785,1,60,20,18,144,13,12,154,4
642883955827095_174874366207472,8919,0,35,14,12,49,13,12,79,3
642883955827095_1904154999808796,5793,0,46,13,12,87,13,12,139,3
642883955827095_711895525541513,7231,0,88,21,42,120,13,12,276,4
711895525541513_1690154111231962,4199,2,59,3,9,34,13,12,129,5
711895525541513_642883955827095,7231,0,135,39,42,120,13,12,276,5
711895525541513_1039259979422631,8645,1,120,41,27,57,13,12,182,5
711895525541513_4683230375146,9341,1,79,19,29,62,13,12,182,5
711895525541513_1497382353899951,5982,1,70,21,6,76,13,12,150,3
711895525541513_174874366207472,8527,0,51,24,3,28,13,12,112,2
711895525541513_1904154999808796,6146,0,73,55,35,100,13,12,296,5
711895525541513_1545700675717582,6695,0,6,3,9,20,13,12,14,3
763806457067242_1690154111231962,4261,100,0,0,0,3,13,12,3,2
763806457067242_642883955827095,7079,53,0,0,0,10,13,12,0,3
763806457067242_1545700675717582,7480,3,12,13,9,38,13,12,32,4
763806457067242_306829992828516,7276,0,8,5,1,68,13,12,12,3
763806457067242_4683230375146,8314,88,1,2,1,6,13,12,2,2
763806457067242_836280526420039,5563,100,0,0,0,0,13,12,0,1
763806457067242_1497382353899951,6562,92,0,0,0,9,13,12,0,1
763806457067242_174874366207472,8886,39,0,0,0,7,13,12,1,2
763806457067242_1635582596668008,5472,1,5,5,15,52,13,12,10,4
763806457067242_1904154999808796,5773,24,5,3,0,22,13,12,10,3
763806457067242_711895525541513,6420,3,2,4,0,27,13,12,15,3
836141716438809_1690154111231962,4107,45,0,0,6,6,13,12,12,5
836141716438809_642883955827095,6899,45,0,1,6,45,13,12,6,4
836141716438809_1039259979422631,8782,10,0,0,2,25,13,12,3,3
836141716438809_1545700675717582,7227,1,0,0,8,31,13,12,5,3
836141716438809_306829992828516,7093,1,1,7,8,58,13,12,20,4
836141716438809_4683230375146,8340,1,0,0,2,11,13,12,1,3
836141716438809_763806457067242,7014,1,0,0,0,18,13,12,2,4
836141716438809_836280526420039,5383,100,0,0,0,4,13,12,0,2
836141716438809_1497382353899951,6382,100,0,0,2,8,13,12,1,3
836141716438809_174874366207472,8709,1,0,0,2,44,13,12,0,1
836141716438809_1635582596668008,5147,1,0,0,1,13,13,12,0,3
836141716438809_1904154999808796,6130,1,1,5,24,58,13,12,90,5
836141716438809_711895525541513,6797,1,0,5,23,38,13,12,83,5
836280526420039_642883955827095,5460,1,0,0,0,15,13,12,0,4
836280526420039_1039259979422631,7343,16,0,0,0,6,13,12,0,4
836280526420039_1545700675717582,5784,2,0,0,0,7,13,12,0,3
836280526420039_836141716438809,5383,18,0,0,0,4,13,12,0,4
836280526420039_306829992828516,5654,41,0,0,0,1,13,12,0,3
836280526420039_4683230375146,6695,100,0,0,0,0,13,12,0,4
836280526420039_763806457067242,5563,100,0,0,0,0,13,12,0,1
836280526420039_1635582596668008,3719,2,0,0,7,10,13,12,0,5
836280526420039_1497382353899951,4943,1,0,0,0,13,13,12,0,1
836280526420039_174874366207472,7267,100,0,0,0,2,13,12,1,2
836280526420039_1904154999808796,4154,11,0,0,0,9,13,12,1,3
836280526420039_711895525541513,4801,36,0,0,0,9,13,12,1,3
1039259979422631_1690154111231962,6195,2,7,0,10,24,13,12,42,4
1039259979422631_642883955827095,9074,1,13,2,3,38,13,12,104,4
1039259979422631_1545700675717582,9183,90,0,1,4,18,13,12,6,2
1039259979422631_4683230375146,10410,1,26,4,18,23,13,12,74,5
1039259979422631_763806457067242,8962,91,0,2,1,8,13,12,4,3
1039259979422631_1497382353899951,8412,1,3,0,11,33,13,12,64,1
1039259979422631_174874366207472,10992,1,8,0,13,49,13,12,59,3
1039259979422631_1904154999808796,7785,52,10,0,10,31,13,12,74,4
1039259979422631_711895525541513,8645,14,28,12,27,57,13,12,182,5
1497382353899951_1690154111231962,3721,2,23,2,2,31,13,12,45,5
1497382353899951_642883955827095,6785,1,73,20,18,144,13,12,154,4
1497382353899951_1039259979422631,8412,1,58,19,11,33,13,12,64,4
1497382353899951_1545700675717582,6843,0,2,0,1,13,13,12,8,3
1497382353899951_4683230375146,8956,1,28,5,12,30,13,12,96,4
1497382353899951_174874366207472,8513,1,45,20,2,38,13,12,94,4
1497382353899951_1904154999808796,5255,0,38,16,2,36,13,12,81,4
1497382353899951_711895525541513,5982,1,70,22,6,76,13,12,150,5
1545700675717582_1690154111231962,4503,13,1,1,1,6,13,12,5,2
1545700675717582_642883955827095,7385,89,4,1,1,25,13,12,10,3
1545700675717582_1039259979422631,9183,90,2,3,4,18,13,12,6,5
1545700675717582_4683230375146,8535,88,4,4,2,7,13,12,10,3
1545700675717582_1497382353899951,6843,89,3,0,1,13,13,12,8,2
1545700675717582_174874366207472,9111,94,2,0,3,30,13,12,5,2
1545700675717582_1904154999808796,6043,0,2,0,7,15,13,12,10,3
1545700675717582_711895525541513,6695,89,2,1,9,20,13,12,14,5
1635582596668008_1690154111231962,2411,4,0,0,5,18,13,12,17,1
1635582596668008_642883955827095,5316,4,0,0,16,20,13,12,63,2
1635582596668008_1039259979422631,7431,2,11,5,9,23,13,12,61,4
1635582596668008_1545700675717582,5598,4,1,1,3,16,13,12,7,4
1635582596668008_836141716438809,5147,4,0,0,1,13,13,12,0,3
1635582596668008_306829992828516,5467,4,5,4,7,14,13,12,33,4
1635582596668008_4683230375146,6886,4,9,6,23,43,13,12,54,4
1635582596668008_763806457067242,5472,4,3,4,15,52,13,12,10,5
1635582596668008_836280526420039,3719,4,0,0,7,10,13,12,0,3
1635582596668008_1497382353899951,4730,4,0,0,7,23,13,12,51,2
1635582596668008_174874366207472,7061,4,1,1,6,12,13,12,36,3
1635582596668008_1904154999808796,3918,4,0,0,2,11,13,12,46,2
1635582596668008_711895525541513,4835,4,8,7,23,40,13,12,122,4
1690154111231962_642883955827095,4780,0,51,17,18,58,13,12,162,5
1690154111231962_1039259979422631,6195,1,28,0,10,24,13,12,42,4
1690154111231962_1545700675717582,4503,0,2,0,1,6,13,12,5,3
1690154111231962_4683230375146,5393,1,30,2,14,18,13,12,33,4
1690154111231962_1497382353899951,3721,1,18,1,2,31,13,12,45,3
1690154111231962_174874366207472,6018,0,6,2,0,12,13,12,19,4
1690154111231962_1904154999808796,2852,56,31,6,2,21,13,12,69,3
1690154111231962_711895525541513,4199,0,37,4,9,34,13,12,129,4
1904154999808796_1690154111231962,2852,2,30,5,2,21,13,12,69,4
1904154999808796_642883955827095,5793,1,70,25,12,87,13,12,139,4
1904154999808796_1039259979422631,7785,1,52,15,10,31,13,12,74,3
1904154999808796_1545700675717582,6043,0,4,1,7,15,13,12,10,3
1904154999808796_4683230375146,7849,1,25,4,11,24,13,12,84,3
1904154999808796_1497382353899951,5255,1,35,15,2,36,13,12,81,2
1904154999808796_174874366207472,7477,0,36,16,0,25,13,12,60,2
1904154999808796_711895525541513,6146,0,58,61,35,100,13,12,296,5
158166681197693_1405712699730541,4509,100,1,0,1,2,17,16,2,3
158166681197693_759906994089981,5627,18,2,0,2,2,17,16,3,4
158166681197693_360967734276457,4453,1,5,3,7,7,17,16,14,3
158166681197693_844424082283172,3944,17,2,3,4,3,17,16,9,3
215316428921518_1092144847486370,5017,1,2,0,1,1,17,16,7,3
215316428921518_759906994089981,8123,1,5,0,0,5,17,16,11,3
215316428921518_833875256656786,6436,1,3,0,0,4,17,16,4,4
215316428921518_1552234955028497,5695,1,2,0,0,4,17,16,3,3
338630779623841_1552234955028497,4699,1,12,2,7,29,17,16,29,2
338630779623841_759906994089981,7578,1,40,33,9,80,17,16,154,2
338630779623841_844424082283172,5809,1,32,26,27,85,17,16,128,4
360967734276457_759906994089981,7380,1,17,4,44,59,17,16,45,4
360967734276457_513289528839108,3888,1,10,1,6,20,17,16,15,2
360967734276457_1405712699730541,6625,1,28,33,105,103,17,16,127,4
360967734276457_1694166527479154,7296,1,4,6,46,112,17,16,10,4
360967734276457_338630779623841,5897,1,12,6,15,57,17,16,34,4
360967734276457_844424082283172,5685,1,12,7,18,29,17,16,43,4
493756514088788_597739390412259,6747,24,6,8,14,12,17,16,50,5
493756514088788_513289528839108,6951,1,3,5,6,23,17,16,18,4
493756514088788_1521301744793023,9192,27,3,12,78,24,17,16,46,3
493756514088788_1552234955028497,8083,51,4,13,28,31,17,16,60,5
513289528839108_215316428921518,4705,100,0,0,1,3,17,16,4,1
513289528839108_1092144847486370,2033,29,0,3,3,15,17,16,14,3
513289528839108_912365158899147,1540,85,0,0,5,7,17,16,5,2
513289528839108_597739390412259,1443,21,3,4,10,12,17,16,23,5
597739390412259_833875256656786,3217,1,28,12,12,27,17,16,70,4
597739390412259_1552234955028497,2476,1,23,12,8,21,17,16,63,5
597739390412259_493756514088788,6747,1,21,7,14,12,17,16,50,3
597739390412259_360967734276457,3586,1,14,2,13,14,17,16,31,4
759906994089981_1405712699730541,7470,1,15,9,26,31,17,16,54,4
759906994089981_1694166527479154,8500,1,8,19,10,14,17,16,36,2
759906994089981_338630779623841,7578,1,33,24,9,80,17,16,154,1
759906994089981_360967734276457,7380,1,12,3,44,59,17,16,45,2
833875256656786_1092144847486370,3816,1,7,8,5,15,17,16,36,4
833875256656786_597739390412259,3217,91,14,15,12,27,17,16,70,4
833875256656786_1694166527479154,6782,57,1,2,0,6,17,16,4,2
833875256656786_1521301744793023,5334,24,3,5,21,15,17,16,29,3
833875256656786_1552234955028497,4511,1,20,31,21,45,17,16,91,3
833875256656786_360967734276457,5673,1,10,10,17,22,17,16,41,3
835185656506141_912365158899147,3736,1,7,3,6,11,17,16,16,3
835185656506141_1521301744793023,5900,1,7,8,53,45,17,16,35,3
844424082283172_1405712699730541,5764,1,20,12,7,24,17,16,45,4
844424082283172_1694166527479154,6814,1,20,32,12,31,17,16,45,3
844424082283172_338630779623841,5809,1,31,26,27,85,17,16,128,4
844424082283172_360967734276457,5685,1,16,8,18,29,17,16,43,3
844424082283172_759906994089981,6978,1,38,34,20,66,17,16,112,4
912365158899147_1092144847486370,1871,1,11,5,5,25,17,16,32,3
912365158899147_1694166527479154,4864,1,2,0,1,6,17,16,4,4
912365158899147_1521301744793023,3568,1,9,7,21,24,17,16,51,4
1092144847486370_215316428921518,5017,1,1,0,1,1,17,16,7,1
1092144847486370_597739390412259,1776,1,14,6,7,17,17,16,44,4
1092144847486370_1694166527479154,5345,12,3,2,1,19,17,16,3,3
1092144847486370_1552234955028497,3127,1,9,8,12,28,17,16,37,2
1092144847486370_1774500396108984,5876,1,4,0,5,48,17,16,11,4
1405712699730541_759906994089981,7470,1,20,9,26,31,17,16,54,4
1405712699730541_360967734276457,6625,1,22,15,105,103,17,16,127,3
1521301744793023_1092144847486370,3942,2,4,11,20,36,17,16,31,3
1521301744793023_912365158899147,3568,1,14,11,21,24,17,16,51,1
1521301744793023_597739390412259,3418,1,12,10,30,23,17,16,42,2
1521301744793023_1694166527479154,7035,20,4,2,27,46,17,16,6,5
1521301744793023_1552234955028497,4589,1,9,9,26,22,17,16,29,3
1521301744793023_493756514088788,9192,1,11,8,78,24,17,16,46,3
1552234955028497_1092144847486370,3127,1,7,7,12,28,17,16,37,3
1552234955028497_912365158899147,2607,1,5,1,2,13,17,16,18,4
1552234955028497_833875256656786,4511,1,21,30,21,45,17,16,91,4
1552234955028497_493756514088788,8083,1,9,20,28,31,17,16,60,3
1694166527479154_759906994089981,8500,1,3,3,10,14,17,16,36,3
1694166527479154_338630779623841,7123,1,6,1,20,79,17,16,38,4
1694166527479154_844424082283172,6814,1,4,4,12,31,17,16,45,4
1774500396108984_1521301744793023,7508,1,4,1,24,34,17,16,13,4
1774500396108984_493756514088788,10750,1,7,0,12,19,17,16,13,3
